"ID	FIRST NAME	LAST NAME	BIRTHDAY	SEX	EMAIL	PHONE	ADDRESS	SSS	PAG-IBIG	HEALTH	STATUS	POSITION	DEPARTMENT	SUPERVISOR	HIRED DATE	JOB TITLE",,,,,,,,,,,,,,,,
"																",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,  ,  ,  , 
,,,,,,,,,,,,,  ,  ,  , 
ID, First Name , Last Name ,Birthday , Select Sex , Email , Phone Number , Address , SSS number , Pag-Ibig Number , Phil-Health Number , Choose Status , Choose Position , Department , Supervisor , Date Hired , Job Title
1,Garcia,Manuel III,10/11/1983,M,mgarcia@motorph.com,966-860-270,"Valero Carpark Building Valero Street 1227, Makati City",44-4506057-3,6.91295E+11,8.20127E+11,Regular,Chief Executive Officer,Management ,N/A,1/1/2010,CEO
2,Lim,Antonio,6/19/1988,M,alim@motorph.com,171-867-411,"San Antonio De Padua 2, Block 1 Lot 8 and 2, Dasmarinas, Cavite",52-2061274-9,6.63905E+11,3.31736E+11,Regular,Chief Operating Officer,Management ,"Garcia, Manuel III",1/1/2010,COO
3,Aquino,Bianca Sofia,8/4/1989,F,bsaquino@motorph.com,966-889-370,"Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100, Quezon City",30-8870406-2,1.7152E+11,1.77451E+11,Regular,Chief Finance Officer,Management ,"Garcia, Manuel III",1/1/2010,CFO
4,Reyes,Isabella,6/16/1994,F,ireyes@motorph.com,786-868-477,"460 Solanda Street Intramuros 1000, Manila",40-2511815-0,4.16947E+11,3.41911E+11,Regular,Chief Marketing Officer,Management ,"Garcia, Manuel III",1/1/2010,CMO
5,Hernandez,Eduard,9/23/1989,M,ehernandez@motorph.com,088-861-012,"National Highway, Gingoog,  Misamis Occidental",50-5577638-1,9.52347E+11,9.57436E+11,Regular,IT Operations and Systems,Management ,"Lim, Antonio",1/1/2010,ITOS
6,Villanueva,Andrea Mae,2/14/1988,F,amvillanueva@motorph.com,918-621-603,"17/85 Stracke Via Suite 042, Poblacion, Las Piñas 4783 Dinagat Islands ",49-1632020-8,4.41093E+11,3.82189E+11,Regular,HR Manager,Management ,"Lim, Antonio",1/1/2010,HRM
7,San Jose,Brad ,3/15/1996,M,bsanjose@motorph.com,797-009-261,"99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi",40-2400714-1,2.1085E+11,2.39193E+11,Regular,HR Team Leader,Management ,"Villanueva, Andrea Mae",1/1/2010,MRTL
8,Romualdez,Alice,5/14/1992,F,aromualdez@motorph.com,983-606-799,"12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte ",55-4476527-2,2.11386E+11,5.45653E+11,Regular,HR Rank and File,Management ,"San, Jose Brad",1/1/2010,HRRF
9,Atienza,Rosie ,9/24/1948,F,ratienza@motorph.com,266-036-427,"90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte",41-0644692-3,2.60108E+11,7.08988E+11,Regular,HR Rank and File,Management ,"San, Jose Brad",1/1/2010,HRRF
