user,password,name
Mgarcia,ABcd123456,Garcia 
Alim,ABcd123457,Lim
Baquino,ABcd123458,Aquino
Ireyes,ABcd123459,Reyes
Ehernandez,ABcd123460,Hernandez
Avillanueva,ABcd123461,Villanueva
Bsan jose,ABcd123462,San Jose
Aromualdez,ABcd123463,Romualdez
Ratienza,ABcd123464,Atienza
Ralvaro,ABcd123465,Alvaro
Asalcedo,ABcd123466,Salcedo
Jlopez,ABcd123467,Lopez
Mfarala,ABcd123468,Farala
Lmartinez,ABcd123469,Martinez
Fromualdez,ABcd123470,Romualdez
Cmata,ABcd123471,Mata
Sde leon,ABcd123472,De Leon
Asan jose,ABcd123473,San Jose
Crosario,ABcd123474,Rosario
Mbautista,ABcd123475,Bautista
Dlazaro,ABcd123476,Lazaro
Kdelos santos,ABcd123477,Delos Santos
Vsantos,ABcd123478,Santos
Tdel rosario,ABcd123479,Del Rosario
Jtolentino,ABcd123480,Tolentino
Pgutierrez,ABcd123481,Ramos
Gmanalaysay,ABcd123482,Gutierrez
Lvillegas,ABcd123483,Maceda
Cramos,ABcd123484,Manalaysay
Emaceda,ABcd123485,Aguilar
Daguilar,ABcd123486,Villegas
Jcastro,ABcd123487,Castro
Cmartinez,ABcd123488,Martinez
Bsantos,ABcd123489,Santos
admin,12345,MotorPh Admin
bacit,123456,IT System
,,
,,
,,
,,
,,
,,
,,
,,
,,
